Tweets,Sentimental Analysis
bYA GIRL GOT STABBEDnnCOVIDvaccine JohnsonAndJohnsonVaccine httpstcoOpNcmqOd,Natural 
bEveryone should read this COVID HerdImmunity COVIDvaccine nhttpstcoyWYQvYlxWu,Natural 
bGot my dose johnsonandjohnson COVIDvaccine today Cried with relief when I got it ThankyouMrPresident JoeBiden,Natural 
bThis morning we trained medical and physician students how to give COVIDvaccine and this afternoon my daughter gotxexxa httpstcoCZsdiHkEQ,Natural 
bHypocrisy of all hypocrisies  facebook censors Mark Zuckerberg nnZuck got Zucked nnxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxncovidvaccinexexxa httpstcoWpTMRxyxf,Negative 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoYSkOMZP,Positive 
bThe business of savings lives doesnxexxt stop on holiday weekends xfxfxxxfxfxxxfxfxxBetterDaysAreComing BetterdaysAreHerexexxa httpstcoIIpBLxqamn,Natural 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnFresnonMaderanPalm SpringsnPortervixexxa httpstcotNYrlhXc,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnChatsworthnCypressnFresnonGlendalenIxexxa httpstcolyavWg,Natural 
bGOVERNING Californians aged  years and older are now eligible to receive the CovidVaccine and in two weeks thxexxa httpstcoiVnGitgNk,Positive 
bTook a break during our COVID vaccine clinic and looked out the window to see my recently vaccinated patient gettinxexxa httpstcoGDmqoxMI,Natural 
bCalifornians aged  years and older are now eligible to receive the CovidVaccine and in two weeks the eligibilitxexxa httpstcoEsMnnfAseY,Natural 
bThose who dont know history are doomed to repeat it Edmund Burke nnwwiihistory neverforgetxexxa httpstcoFCWfQDmkvR,Natural 
bClinical Trial Evaluating COVID Variant Vaccine BeginsnhttpstcotWdMqZwfnclinicaltrials  COVIDvaccinexexxa httpstcobInIlmGBl,Natural 
bGot my first dose of the COVIDvaccine today xfxfxx One step closer to ending this pandemic VaccinesSaveLives,Natural 
bHappy Easter Semana Santa to friends amp followersnnToday WestGateTunnelProject Planning AirQuality COVIDVicxexxa httpstcooxXyXRVjy,Natural 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoVnFDpZzFk,Natural 
bThere are some people who will without question benefit from the covidvaccine httpstcoRvRNSeeeK,Negative 
bI had a migraine every day after my first covid shot on St Patricks day I got Maderna I get my next one April xexxa httpstcoCDysEGL,Natural 
bStay vigilant folks nCovidVaccine httpstcoRpEPSngJ,Positive 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoOrWbVKfjj,Positive 
bMy Saturday night icing my covid vaccine injection site while simultaneously applying a heating pad to my postsurxexxa httpstcovJDbxTLM,Negative 
bWell I definitely feel like my immune system has engaged Ramxcxbn just felt my forehead he said Ixexxm extremely warmxexxa httpstcognPcdmMqb,Natural 
bAgree with the need to fight COVIDSecondWave with COVIDvaccine xfxfxx pfizer moderna_tx AstraZeneca GetVaccinatedxexxa httpstcoLVvOpALt,Negative 
bst dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of USnnnd dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of Uxexxa httpstcoSAASMGwa,Positive 
bitsJeffTiedrich Isnxexxt it interesting that all those in the GOP that have bitched for years about Obamacare andoxexxa httpstcoldsTJgZ,Positive 
bScheduled my COVID vaccine Hope they have a cot or Ill end up on the floor COVIDvaccine fearofneedlesxexxa httpstcohUDMkFfyt,Positive 
bDramatic and onbrandCOVID COVIDvaccine httpstcoqbNEujuJ,Positive 
bxexdxaxefxbxf graphs Vaccines are LIFE SAVINGnnMichigan hang in there We got this nnMaskUp and get your COVIDvaccine txexxa httpstcoWZCXKCGvc,Positive 
bGot JampJ vaccine today Feeling great so far I cannot convey my gratitude towards every brilliant mind that made thxexxa httpstcojGwlpZQNwl,Natural
bBogochIsaac cristina_CP No extended hours Confusing and difficult to navigate booking process online Limitedxexxa httpstcotoateLxphx,Natural 
bIt is imperative that open discussion can take place regarding the vaccine which is no longer possible For parentsxexxa httpstcoEcZCIPR,Natural 
bThis I cried out loud Google COVIDvaccine httpstcooXTMdZIp,Natural 
bNeurotic moody and demanding with poor impulse control And still would be a better leader than our Premierxexxa httpstcopRhkIobdT,Negative 
bnDont believe the lies of the media They are working for the leftist conspirators and murderers covidnewsxexxa httpstcobgSGLBffa,Positive 
bIncredibly thankful to be wiped out after my second COVIDvaccine Thinking about the farmer I chatted with duringxexxa httpstcodxWWmdpxjr,Natural 
bI need Billmaher to see this text I didnt even know how to respond to my cousin and aunt declining my wedding ixexxa httpstcojbUqwySGxJ,Positive 
bDidnt even know how to respond to my cousin and aunt declining my wedding invite lol nTrevornoah covidxexxa httpstcouYUOAUZcYR,Natural 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnCypressnEl SegundonFresnonGardenanInxexxa httpstcoFkOtxByVX,Positive 
bDone with nd dose xfxfxaxb COVID COVIDvaccine httpstconcxIvHXqx,Natural 
bThis man has been burned alive thumbtacks in his eyes and laid in beds of barbwire If he can get a shot so canxexxa httpstcoRpIwsUYQN,Natural 
bclevelanddotcom The efficacy of the COVIDvaccine  an absolute ZERO xfxfxx  a great advertisement,Natural 
bI talk about the COVIDvaccine on my YouTube channel Katie Peters Movie Queen I believe you should talk with your doctor and take it,Natural 
bI say this as someone who has spent my free time working with a dozen churches the last few weeks to get their conxexxa httpstcoBWLUYNhirb,Natural 
bSorry to spoil Easter with a picture of Dutton but hes talking trash against the states again auspolxexxa httpstcodJEPWtRB,Natural 
bth amp nd REvil Ransomware Gang Bring in M   amp  Hacker makes K Creating Fake COVID Vaccine Ordersxexxa httpstcoRRxEmRODQ,Natural 
bCrazy good news GODZILLA VS KONG had a  MILLION DOLLAR OPENING WEEKENDnnThe cinema is ALIVExexxa httpstcoHDoHCrk,Negative 
bRunning gag Ixexxm a Starbucks barista and my name isnxexxt pronounced or spelled right a lot but yxexxall my dad schedulxexxa httpstcoYnsuXcMHh,Natural 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnClovisnEl CentronFresnonMaderanPalm SpringsnPortxexxa httpstcoYjwbUVYAdn,Positive 
bHALFWAY THERE xfxfxaxbnnI have never been happier to get stabbed in the arm by a needle Canxexxt wait for all the hugs andxexxa httpstcoVkrlFRzaK,Positive 
bSo wonderful COVIDvaccine httpstcoDHOHZd,Negative 
bCovid vaccinations hit another record average now above  million daily COVIDvaccine httpstcoUpwvRsdRnI,Natural 
bToday what I considered a COVIDVaccine success was a patient coming to my station then saying I dont  wanna doxexxa httpstcoyshMLHWfnr,Negative 
bKind of feels like the COVID vaccination card should have a barcode on it to be scanned at planes cruise ship txexxa httpstcorHKjbJR,Positive 
bIf I asked you do drink a bottle with poison written on it would you drink it No you wouldnxexxt  so why the helxexxa httpstcoJUVqCHfc,Positive 
bMeanwhile in Canada COVIDAB COVID COVIDvaccine httpstcozDOURCH,Positive 
bGot an appointment for the first half of the COVIDvaccine on the th Pfizer HerdImmunity,Positive 
bpam_landy Poupon somewherein For m doses enough for us all plus extra Pfizer would cost us b nnSxexxa httpstcoJyHVJGyahy,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnBuena ParknCypressnDowneynEl Segundoxexxa httpstcoWsBDcccUq,Natural
bHow did I miss the fact that nScottMorrisonMP secured the cheapest COVIDvaccine by far for everyday Australiansxexxa httpstcoicrclJrHL,Natural 
bFilled with the fire of the Holy Spirit xfxfxaxf COVID COVID coronavirus COVIDvaccine SaturdayVibes Healthxexxa httpstcoEbfdcQjN,Natural 
bTotal number of COVID vaccinations administratednxfxfxxbaxfxfxxb Mnxfxfxxaxfxfxxb Mnxfxfxxaexfxfxxb Mnxfxfxxacxfxfxxa Mnxfxfxxaxfxfxxb Mnxfxfxxbxfxfxxb Mnxfxfxxaxfxfxxaa xexxa httpstcoEgZfUFK,Natural 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnEl CentronFresnonMaderanPalm Springxexxa httpstcojsGeQGM,Negative 
bGet your vaccine and letxexxs get back to normal Google COVIDvaccine COVID Moderna johnsonandjohnson Pfizer httpstcodpTUalvKY,Positive 
bCOVID vaccination doses administrated per  peoplenxfxfxxaexfxfxxb nxfxfxxbxfxfxxa nxfxfxxaxfxfxxaa nxfxfxxbxfxfxxbc nxfxfxxaxfxfxxb nxfxfxxaxfxfxxb nxfxfxxacxfxfxxa xexxa httpstcorBDzLCOkDa,Natural 
bGetting my COVIDvaccine st dose Wednesday SuperExcited xfxfxx xfxfxxa POTUS JoeBiden VP KamalaHarris xfxfxxxfxfxxxfxfxx,Positive 
bddiamond This was beyond brilliant amp totally unexpected Dan Wow Thank you Google for fighting the good fight COVIDvaccine,Natural 
bMorrison Government COVIDvaccine  supply is still patchy httpstcoRrsFEWuc auspol ScottytheQueueJumper ScottyTheAnnouncer,Positive 
bHappy Easter There are literally thousands of COVIDvaccine doses available this week all over the county for thosxexxa httpstcojafoHPm,Natural 
bBut he was vaccinated xfxfxxxfxfxaxaxfxfxxbxfxfxxcxfxfxxd covidscam CovidVaccineScam coronavirus COVIDIOTS COVIDvaccine CovidVaccines httpstcoNkNjSto,Natural 
bCovid shot numero uno DONEnCOVIDvaccine FauciOuchie,Natural 
bnd vax   days Got my vax tattoo my own personal xexxcMark of the Beastxexxd Also now a certified wifi hotspotxexxa httpstcoxJvPxWf,Natural 
bGot my first xfxfxx of COVIDvaccine Atoday and I am SO HAPPY I mean Im happy every year when I get my flu shot butxexxa httpstconLjAJvQXZ,Natural 
bPitches or pfizer xfxfxax xfxfxxxexexaxefxbxfxfxfxxaanTMobilePark or lumenfieldnMariners or medicinenCOVIDvaccinennSwedishxexxa httpstcoylSbPUs,Natural 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBell GardensnBeverly HillsnBuena ParknCulver CitynDowneynEl Sxexxa httpstcoFswderAasb,Natural 
bFantastic question COVIDvaccine VaccinePassports httpstcoVLDnWTC,Negative 
bOne down One to go COVIDvaccine httpstcoNcoFYXoFRx,Natural 
bKudos to GovMikeDeWine OHNationalGuard CLE_State CLEpolice and all the volunteers for the great job at the massxexxa httpstcoDPlfYVthWb,Positive 
bGet your COVIDVaccine questions answered by experts on April  at  pm ET during Chat with TRICARE a live QampAxexxa httpstcoGsqgtXFNf,Positive 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnClovisnEl CentronFresnonMaderanPalm SpringsnPortxexxa httpstcoGBZflEBC,Negative 
bYo did your Covid microchip contain G Because Ixexxm still only getting G LTE COVIDvaccine ATT,Natural 
bFour million COVIDvaccine doses administered in a day nnhttpstcoqyPYAOTbl,Negative 
bI have booked a vaccine appointment Good grief that took more effort than it should have COVIDvaccine,Positive 
bNewly eligible for a COVIDvaccine Over  UCSDHealth appointments just posted for Monday and Tuesday at RIMACxexxa httpstcoqYGHhBRQT,Positive 
bKatyJayne We wonxexxt need NoVaccinePassports if we all have the COVIDvaccine  It is because some people wonxexxtxexxa httpstcomdlTzvbB,Positive 
bFirst shot of the COVIDvaccine  xfxfxx So happy httpstcowKgdlbk,Positive 
bAll Covid vaccination centres near me are closed No bookings are possible atm So Easter has a higher priority thaxexxa httpstcotenkqCzLT,Positive 
bI am rabidly provaccine Everyone should get their shot But can we PLEASE retire shots in arms nShots will sxexxa httpstcoknbnnaqns,Natural 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnEl CentronFresnonMaderanPalm Springxexxa httpstcotnzlXUEy,Natural 
bThe only available vaccine appointment Ixexxve been able to find is the JampJ vaccine  hours away xfxfxxac Ixexxll keep trying Hxexxa httpstcorqUCaoBh,Natural 
bGot my second dose of PfizerVaccine COVIDvaccine httpstcoDYWVuCMhi,Natural 
bCOVIDvaccine is our best chance to beat this pandemic amp get back to normal nnI highly recommend the summary tablexexxa httpstcoNJrVgnEiMl,Negative 
bWere excited to share our latest episode with you this week featuring three fantastic guests including Will Geniaxexxa httpstcowOkMCwDkHF,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBell GardensnBeverly HillsnBuena ParknCypressnDowneynEl Segunxexxa httpstcovaVBTPeLHB,Natural 
bxexxaGovRonDeSantisxexxa such and IDIOT  Because why would we want to have a system to to check and insure someone is notxexxa httpstcoXkcTMQRPkw,Positive 
bDoes anyone know if youxexxve had ITP previously are you at greater risk of a clotting disorder with the Astra Zeneca COVIDvaccine,Natural 
bGov website still says additional  million Pfizer vaccines acquired Where the fuck are they auspolxexxa httpstcodyevLWSfY,Positive 
bPfizer Shot  xfxfxxn hours afternBack to normal more or less Ixexxm not achy anymore and arm soreness is gone Feelxexxa httpstcoavdR,Natural 
bOur largest COVIDvaccine event in Princegeorgescounty had very special visitors from MD government today Thank yxexxa httpstcoPVUQrMj,Natural 
bVaccine  done And in case youre curious I confirmed with the doctor that the microchip will not interfere witxexxa httpstcohAUBmpCG,Natural 
bEnd of Day  after st Covid Vaccine Arm pain now  only slight Mostly forgotten uless I accidentally apply pressuxexxa httpstcoMrRZYjdi,Natural 
bICYMIThisxfxfxxxfxfxfxbb COVID is still raging While the  COVIDvaccine is a great first step wexexxre NOT out of the woodxexxa httpstcozfbchNepgC,Natural 
bFeeling great after Pfizer dose one yesterday Tiny bit of nausea yesterday for a bit but otherwise xfxfxxdxfxfxxab Vaccinate COVIDvaccine,Natural 
bIs anyone in Montreal collecting outcomes data on ppl who had a  month delay between st and nd dose ofxexxa httpstcoDbCdisBJ,Natural 
